Beach Name,Battery Life,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Measurement Timestamp,Measurement ID,Measurement Timestamp Label
63rd Street Beach,5.5,18.9,29.55,,-99999.992,-100000,09/13/2015 10:00:00 PM,63rdStreetBeach201509132200,09/13/2015 10:00 PM
Rainbow Beach,11.5,19.1,6.44,,0.196,5,09/13/2015 09:00:00 PM,RainbowBeach201509132100,09/13/2015 9:00 PM
Calumet Beach,10.7,18.8,3.02,,0.104,5,09/13/2015 09:00:00 PM,CalumetBeach201509132100,09/13/2015 9:00 PM
63rd Street Beach,5.5,18.9,29.09,,-99999.992,-100000,09/13/2015 09:00:00 PM,63rdStreetBeach201509132100,09/13/2015 9:00 PM
63rd Street Beach,5.5,19,24.14,,-99999.992,-100000,09/13/2015 08:00:00 PM,63rdStreetBeach201509132000,09/13/2015 8:00 PM
Calumet Beach,10.7,18.9,3.43,,0.128,5,09/13/2015 08:00:00 PM,CalumetBeach201509132000,09/13/2015 8:00 PM
Rainbow Beach,11.5,19.2,7.05,,0.223,4,09/13/2015 08:00:00 PM,RainbowBeach201509132000,09/13/2015 8:00 PM
Calumet Beach,10.7,19,3.47,,0.124,5,09/13/2015 07:00:00 PM,CalumetBeach201509131900,09/13/2015 7:00 PM
63rd Street Beach,5.5,19.1,22.67,,-99999.992,-100000,09/13/2015 07:00:00 PM,63rdStreetBeach201509131900,09/13/2015 7:00 PM
Rainbow Beach,11.5,19.4,8.3,,0.252,5,09/13/2015 07:00:00 PM,RainbowBeach201509131900,09/13/2015 7:00 PM
Rainbow Beach,11.5,19.5,7.99,,0.259,5,09/13/2015 06:00:00 PM,RainbowBeach201509131800,09/13/2015 6:00 PM
Calumet Beach,10.7,19.3,4.57,,0.142,5,09/13/2015 06:00:00 PM,CalumetBeach201509131800,09/13/2015 6:00 PM
63rd Street Beach,5.5,19.2,18.97,,-99999.992,-100000,09/13/2015 06:00:00 PM,63rdStreetBeach201509131800,09/13/2015 6:00 PM
63rd Street Beach,5.5,19.3,16.67,,-99999.992,-100000,09/13/2015 05:00:00 PM,63rdStreetBeach201509131700,09/13/2015 5:00 PM
Calumet Beach,10.7,19,3.17,,0.153,4,09/13/2015 05:00:00 PM,CalumetBeach201509131700,09/13/2015 5:00 PM
Rainbow Beach,11.5,19.7,9.21,,0.29,5,09/13/2015 05:00:00 PM,RainbowBeach201509131700,09/13/2015 5:00 PM
63rd Street Beach,5.7,19.1,14.49,,-99999.992,-100000,09/13/2015 04:00:00 PM,63rdStreetBeach201509131600,09/13/2015 4:00 PM
Calumet Beach,10.7,19.2,4.37,,0.165,5,09/13/2015 04:00:00 PM,CalumetBeach201509131600,09/13/2015 4:00 PM
Rainbow Beach,11.5,19.8,8.71,,0.295,5,09/13/2015 04:00:00 PM,RainbowBeach201509131600,09/13/2015 4:00 PM
63rd Street Beach,5.4,19,15.46,,-99999.992,-100000,09/13/2015 03:00:00 PM,63rdStreetBeach201509131500,09/13/2015 3:00 PM
Calumet Beach,10.7,19.4,3.4,,0.165,5,09/13/2015 03:00:00 PM,CalumetBeach201509131500,09/13/2015 3:00 PM
Rainbow Beach,11.5,19.5,7.43,,0.311,5,09/13/2015 03:00:00 PM,RainbowBeach201509131500,09/13/2015 3:00 PM
63rd Street Beach,5.4,18.9,15.02,,-99999.992,-100000,09/13/2015 02:00:00 PM,63rdStreetBeach201509131400,09/13/2015 2:00 PM
Calumet Beach,10.7,18.9,3.51,,0.164,5,09/13/2015 02:00:00 PM,CalumetBeach201509131400,09/13/2015 2:00 PM
Rainbow Beach,11.5,19.4,7.71,,0.3,5,09/13/2015 02:00:00 PM,RainbowBeach201509131400,09/13/2015 2:00 PM
63rd Street Beach,5.8,18.8,14.22,,-99999.992,-100000,09/13/2015 01:00:00 PM,63rdStreetBeach201509131300,09/13/2015 1:00 PM
Calumet Beach,10.7,18.9,3.45,,0.162,4,09/13/2015 01:00:00 PM,CalumetBeach201509131300,09/13/2015 1:00 PM
Rainbow Beach,11.5,19,8.23,,0.318,5,09/13/2015 01:00:00 PM,RainbowBeach201509131300,09/13/2015 1:00 PM
63rd Street Beach,5.5,18.6,14.31,,-99999.992,-100000,09/13/2015 12:00:00 PM,63rdStreetBeach201509131200,09/13/2015 12:00 PM
Calumet Beach,10.7,18.7,3.09,,0.159,5,09/13/2015 12:00:00 PM,CalumetBeach201509131200,09/13/2015 12:00 PM
Rainbow Beach,11.5,18.8,11.25,,0.337,5,09/13/2015 12:00:00 PM,RainbowBeach201509131200,09/13/2015 12:00 PM
Calumet Beach,10.7,18.4,3.72,,0.167,5,09/13/2015 11:00:00 AM,CalumetBeach201509131100,09/13/2015 11:00 AM
63rd Street Beach,5.6,18.5,12.77,,-99999.992,-100000,09/13/2015 11:00:00 AM,63rdStreetBeach201509131100,09/13/2015 11:00 AM
Rainbow Beach,11.5,18.5,10.92,,0.339,4,09/13/2015 11:00:00 AM,RainbowBeach201509131100,09/13/2015 11:00 AM
Calumet Beach,10.7,17.9,3.17,,0.152,5,09/13/2015 10:00:00 AM,CalumetBeach201509131000,09/13/2015 10:00 AM
63rd Street Beach,5.5,18.3,13.33,,-99999.992,-100000,09/13/2015 10:00:00 AM,63rdStreetBeach201509131000,09/13/2015 10:00 AM
Rainbow Beach,11.5,18.2,10.78,,0.34,6,09/13/2015 10:00:00 AM,RainbowBeach201509131000,09/13/2015 10:00 AM
Rainbow Beach,11.5,17.8,28.48,,0.348,5,09/13/2015 09:00:00 AM,RainbowBeach201509130900,09/13/2015 9:00 AM
Calumet Beach,10.7,17.7,4.5,,0.159,6,09/13/2015 09:00:00 AM,CalumetBeach201509130900,09/13/2015 9:00 AM
63rd Street Beach,5.5,18.1,14.38,,-99999.992,-100000,09/13/2015 09:00:00 AM,63rdStreetBeach201509130900,09/13/2015 9:00 AM
63rd Street Beach,5.4,18.1,14.52,,-99999.992,-100000,09/13/2015 08:00:00 AM,63rdStreetBeach201509130800,09/13/2015 8:00 AM
Calumet Beach,10.7,17.6,5.37,,0.164,6,09/13/2015 08:00:00 AM,CalumetBeach201509130800,09/13/2015 8:00 AM
Rainbow Beach,11.5,17.8,12.08,,0.351,5,09/13/2015 08:00:00 AM,RainbowBeach201509130800,09/13/2015 8:00 AM
63rd Street Beach,5.5,18,13.04,,-99999.992,-100000,09/13/2015 07:00:00 AM,63rdStreetBeach201509130700,09/13/2015 7:00 AM
Calumet Beach,10.7,17.6,4.94,,0.168,6,09/13/2015 07:00:00 AM,CalumetBeach201509130700,09/13/2015 7:00 AM
Rainbow Beach,11.5,17.8,16.25,,0.384,6,09/13/2015 07:00:00 AM,RainbowBeach201509130700,09/13/2015 7:00 AM
63rd Street Beach,5.3,18.1,13.56,,-99999.992,-100000,09/13/2015 06:00:00 AM,63rdStreetBeach201509130600,09/13/2015 6:00 AM
Calumet Beach,10.7,17.7,5.33,,0.164,7,09/13/2015 06:00:00 AM,CalumetBeach201509130600,09/13/2015 6:00 AM
Rainbow Beach,11.5,17.9,14.51,,0.421,6,09/13/2015 06:00:00 AM,RainbowBeach201509130600,09/13/2015 6:00 AM
Calumet Beach,10.7,17.7,5.8,,0.191,7,09/13/2015 05:00:00 AM,CalumetBeach201509130500,09/13/2015 5:00 AM
63rd Street Beach,5.4,18.2,11.37,,-99999.992,-100000,09/13/2015 05:00:00 AM,63rdStreetBeach201509130500,09/13/2015 5:00 AM
63rd Street Beach,5.4,17.9,15.51,,-99999.992,-100000,09/13/2015 04:00:00 AM,63rdStreetBeach201509130400,09/13/2015 4:00 AM
Calumet Beach,10.7,17.7,5.56,,0.195,6,09/13/2015 04:00:00 AM,CalumetBeach201509130400,09/13/2015 4:00 AM
Rainbow Beach,11.5,18,15.99,,0.441,7,09/13/2015 04:00:00 AM,RainbowBeach201509130400,09/13/2015 4:00 AM
Calumet Beach,10.7,17.8,5.94,,0.202,6,09/13/2015 03:00:00 AM,CalumetBeach201509130300,09/13/2015 3:00 AM
63rd Street Beach,5.4,18.2,11.15,,-99999.992,-100000,09/13/2015 03:00:00 AM,63rdStreetBeach201509130300,09/13/2015 3:00 AM
Rainbow Beach,11.5,18,22.51,,0.477,7,09/13/2015 03:00:00 AM,RainbowBeach201509130300,09/13/2015 3:00 AM
Calumet Beach,10.7,17.9,8.73,,0.211,7,09/13/2015 02:00:00 AM,CalumetBeach201509130200,09/13/2015 2:00 AM
63rd Street Beach,5.2,17.8,19.72,,-99999.992,-100000,09/13/2015 02:00:00 AM,63rdStreetBeach201509130200,09/13/2015 2:00 AM
Rainbow Beach,11.5,18.1,38.48,,0.534,7,09/13/2015 01:00:00 AM,RainbowBeach201509130100,09/13/2015 1:00 AM
Calumet Beach,10.7,18,8.77,,0.237,6,09/13/2015 12:00:00 AM,CalumetBeach201509132400,09/13/2015 12:00 AM
63rd Street Beach,4.8,18,21.71,,-99999.992,-100000,09/13/2015 12:00:00 AM,63rdStreetBeach201509132400,09/13/2015 12:00 AM
63rd Street Beach,4.8,18.1,32.2,,-99999.992,-100000,09/12/2015 11:00:00 PM,63rdStreetBeach201509122300,09/12/2015 11:00 PM
Calumet Beach,10.7,18.1,7.3,,0.246,6,09/12/2015 11:00:00 PM,CalumetBeach201509122300,09/12/2015 11:00 PM
63rd Street Beach,4.8,18.3,25.39,,-99999.992,-100000,09/12/2015 10:00:00 PM,63rdStreetBeach201509122200,09/12/2015 10:00 PM
Calumet Beach,10.7,18.1,6.14,,0.25,4,09/12/2015 10:00:00 PM,CalumetBeach201509122200,09/12/2015 10:00 PM
Rainbow Beach,11.5,18.5,28.53,,0.55,7,09/12/2015 10:00:00 PM,RainbowBeach201509122200,09/12/2015 10:00 PM
Calumet Beach,10.7,18.2,5.51,,0.256,5,09/12/2015 09:00:00 PM,CalumetBeach201509122100,09/12/2015 9:00 PM
63rd Street Beach,4.8,18.2,24.6,,-99999.992,-100000,09/12/2015 09:00:00 PM,63rdStreetBeach201509122100,09/12/2015 9:00 PM
63rd Street Beach,4.8,18.4,25.83,,-99999.992,-100000,09/12/2015 08:00:00 PM,63rdStreetBeach201509122000,09/12/2015 8:00 PM
Calumet Beach,10.7,18.1,8.38,,0.257,7,09/12/2015 08:00:00 PM,CalumetBeach201509122000,09/12/2015 8:00 PM
Rainbow Beach,11.5,18.7,27.28,,0.612,7,09/12/2015 08:00:00 PM,RainbowBeach201509122000,09/12/2015 8:00 PM
Calumet Beach,10.7,18.3,9.04,,0.276,7,09/12/2015 07:00:00 PM,CalumetBeach201509121900,09/12/2015 7:00 PM
Rainbow Beach,11.5,18.7,30.31,,0.619,6,09/12/2015 07:00:00 PM,RainbowBeach201509121900,09/12/2015 7:00 PM
Calumet Beach,10.7,18.4,8.54,,0.267,6,09/12/2015 06:00:00 PM,CalumetBeach201509121800,09/12/2015 6:00 PM
Rainbow Beach,11.5,18.9,19.71,,0.596,7,09/12/2015 06:00:00 PM,RainbowBeach201509121800,09/12/2015 6:00 PM
63rd Street Beach,4.8,18.8,24.36,,-99999.992,-100000,09/12/2015 05:00:00 PM,63rdStreetBeach201509121700,09/12/2015 5:00 PM
Calumet Beach,10.7,18.5,8.56,,0.267,7,09/12/2015 05:00:00 PM,CalumetBeach201509121700,09/12/2015 5:00 PM
Rainbow Beach,11.5,19.1,25.1,,0.618,5,09/12/2015 05:00:00 PM,RainbowBeach201509121700,09/12/2015 5:00 PM
Calumet Beach,10.7,18.5,6.76,,0.258,7,09/12/2015 04:00:00 PM,CalumetBeach201509121600,09/12/2015 4:00 PM
63rd Street Beach,4.9,18.8,15.84,,-99999.992,-100000,09/12/2015 03:00:00 PM,63rdStreetBeach201509121500,09/12/2015 3:00 PM
Calumet Beach,10.7,18.5,6.43,,0.263,7,09/12/2015 03:00:00 PM,CalumetBeach201509121500,09/12/2015 3:00 PM
Rainbow Beach,11.5,19.1,22.23,,0.602,6,09/12/2015 03:00:00 PM,RainbowBeach201509121500,09/12/2015 3:00 PM
Calumet Beach,10.7,18.4,6.84,,0.257,6,09/12/2015 02:00:00 PM,CalumetBeach201509121400,09/12/2015 2:00 PM
63rd Street Beach,5.1,18.7,21.18,,-99999.992,-100000,09/12/2015 02:00:00 PM,63rdStreetBeach201509121400,09/12/2015 2:00 PM
Rainbow Beach,11.5,19,18.45,,0.597,6,09/12/2015 02:00:00 PM,RainbowBeach201509121400,09/12/2015 2:00 PM
Calumet Beach,10.7,18.3,5.96,,0.256,7,09/12/2015 01:00:00 PM,CalumetBeach201509121300,09/12/2015 1:00 PM
63rd Street Beach,5.1,18.7,19.26,,-99999.992,-100000,09/12/2015 01:00:00 PM,63rdStreetBeach201509121300,09/12/2015 1:00 PM
Rainbow Beach,11.5,19,22.66,,0.613,6,09/12/2015 01:00:00 PM,RainbowBeach201509121300,09/12/2015 1:00 PM
Rainbow Beach,11.6,18.9,19.61,,0.607,7,09/12/2015 12:00:00 PM,RainbowBeach201509121200,09/12/2015 12:00 PM
Calumet Beach,10.7,18.3,5.35,,0.25,6,09/12/2015 12:00:00 PM,CalumetBeach201509121200,09/12/2015 12:00 PM
63rd Street Beach,5,18.8,18.74,,-99999.992,-100000,09/12/2015 12:00:00 PM,63rdStreetBeach201509121200,09/12/2015 12:00 PM
63rd Street Beach,5.1,19.1,21.68,,-99999.992,-100000,09/12/2015 11:00:00 AM,63rdStreetBeach201509121100,09/12/2015 11:00 AM
Calumet Beach,10.7,18.2,4.89,,0.279,5,09/12/2015 11:00:00 AM,CalumetBeach201509121100,09/12/2015 11:00 AM
Rainbow Beach,11.5,18.9,25.44,,0.607,6,09/12/2015 11:00:00 AM,RainbowBeach201509121100,09/12/2015 11:00 AM
63rd Street Beach,5.2,19.2,16.51,,-99999.992,-100000,09/12/2015 10:00:00 AM,63rdStreetBeach201509121000,09/12/2015 10:00 AM
Calumet Beach,10.7,18.1,4.95,,0.279,5,09/12/2015 10:00:00 AM,CalumetBeach201509121000,09/12/2015 10:00 AM
Rainbow Beach,11.5,18.6,27.43,,0.543,6,09/12/2015 10:00:00 AM,RainbowBeach201509121000,09/12/2015 10:00 AM
Calumet Beach,10.7,18.3,5.9,,0.294,6,09/12/2015 09:00:00 AM,CalumetBeach201509120900,09/12/2015 9:00 AM
63rd Street Beach,5,18.9,17.71,,-99999.992,-100000,09/12/2015 09:00:00 AM,63rdStreetBeach201509120900,09/12/2015 9:00 AM
63rd Street Beach,5.2,18.2,17.7,,-99999.992,-100000,09/12/2015 08:00:00 AM,63rdStreetBeach201509120800,09/12/2015 8:00 AM
Calumet Beach,10.7,18.2,5.94,,0.264,7,09/12/2015 08:00:00 AM,CalumetBeach201509120800,09/12/2015 8:00 AM
Rainbow Beach,11.6,18.7,17.49,,0.558,6,09/12/2015 08:00:00 AM,RainbowBeach201509120800,09/12/2015 8:00 AM
Rainbow Beach,11.6,18.8,34.72,,0.608,7,09/12/2015 07:00:00 AM,RainbowBeach201509120700,09/12/2015 7:00 AM
Calumet Beach,10.7,18.3,6.75,,0.291,4,09/12/2015 07:00:00 AM,CalumetBeach201509120700,09/12/2015 7:00 AM
Calumet Beach,10.7,18.4,7.07,,0.297,6,09/12/2015 06:00:00 AM,CalumetBeach201509120600,09/12/2015 6:00 AM
